fixture_id;id_time;time;formation;coach
1035477;44;Burnley;4-4-2;V. Kompany
1035477;39;Wolves;4-4-1-1;G. O'Neil
1035493;39;Wolves;3-4-2-1;G. O'Neil
1035493;48;West Ham;4-2-3-1;D. Moyes
1035502;65;Nottingham Forest;4-2-3-1;Nuno Espírito Santo
1035502;39;Wolves;3-4-1-2;G. O'Neil
1035523;39;Wolves;3-5-1-1;G. O'Neil
1035523;1359;Luton;3-4-2-1;R. Edwards
1035532;50;Manchester City;4-2-3-1;Pep Guardiola
1035532;39;Wolves;3-5-2;G. O'Neil
1035543;39;Wolves;3-5-1-1;G. O'Neil
1035543;52;Crystal Palace;3-4-2-1;O. Glasner
1035550;40;Liverpool;4-3-3;J. Klopp
1035550;39;Wolves;3-5-1-1;G. O'Neil
1035073;40;Liverpool;4-3-3;J. Klopp
1035073;66;Aston Villa;4-4-2;Unai Emery
1035093;40;Liverpool;4-3-3;J. Klopp
1035093;48;West Ham;4-2-3-1;D. Moyes
1035108;51;Brighton;4-2-3-1;R. De Zerbi
1035108;40;Liverpool;4-3-3;J. Klopp
1035121;40;Liverpool;4-3-3;J. Klopp
1035121;45;Everton;4-4-1-1;S. Dyche
1035133;40;Liverpool;4-3-3;J. Klopp
1035133;65;Nottingham Forest;5-4-1;S. Cooper
1035141;1359;Luton;3-4-2-1;R. Edwards
1035141;40;Liverpool;4-3-3;J. Klopp
1035153;40;Liverpool;4-3-3;J. Klopp
1035153;55;Brentford;5-3-2;T. Frank
1035319;62;Sheffield Utd;3-4-2-1;C. Wilder
1035319;40;Liverpool;4-3-3;J. Klopp
1035326;52;Crystal Palace;4-3-3;R. Hodgson
1035326;40;Liverpool;4-3-3;J. Klopp
1035347;40;Liverpool;4-3-3;J. Klopp
1035347;42;Arsenal;4-3-3;Mikel Arteta
1035392;40;Liverpool;4-3-3;J. Klopp
1035392;49;Chelsea;4-2-3-1;M. Pochettino
1035395;42;Arsenal;4-3-3;Mikel Arteta
1035395;40;Liverpool;4-3-3;J. Klopp
1035407;40;Liverpool;4-3-3;J. Klopp
1035407;44;Burnley;4-4-2;V. Kompany
1035430;40;Liverpool;4-3-3;J. Klopp
1035430;1359;Luton;3-4-2-1;R. Edwards
1035441;65;Nottingham Forest;4-2-3-1;Nuno Espírito Santo
1035441;40;Liverpool;4-3-3;J. Klopp
1035450;40;Liverpool;4-3-3;J. Klopp
1035450;50;Manchester City;3-2-4-1;Pep Guardiola
1035468;40;Liverpool;4-3-3;J. Klopp
1035468;51;Brighton;4-2-3-1;R. De Zerbi
1035482;40;Liverpool;4-3-3;J. Klopp
1035482;62;Sheffield Utd;3-5-2;C. Wilder
1035499;40;Liverpool;4-3-3;J. Klopp
1035499;52;Crystal Palace;3-4-3;O. Glasner
